treetype,distribution,dimension,build_time,nn_time,insert_time
pkd,varden,3,2864,90,1484
pkd,varden,3,2411,398,452
pkd,varden,3,4696,93,790
pkd,varden,3,2597,92,514
pkd,varden,3,2282,388,817
pkd,varden,2,3058,252,800
pkd,varden,2,1755,217,588
pkd,varden,2,2020,204,877
pkd,varden,2,1740,211,459
pkd,varden,2,1796,196,759
pkd,varden,5,4715,1402,1977
pkd,varden,5,6208,1166,636
pkd,varden,5,3193,869,872
pkd,varden,5,4248,1058,1011
pkd,varden,5,4157,951,818
lib,varden,2,1072,571,1489
lib,varden,2,1017,545,1618
lib,varden,2,870,836,1404
lib,varden,2,996,316,1426
lib,varden,2,892,501,1470
lib,varden,3,1386,3276,2223
lib,varden,3,1648,3683,2264
lib,varden,3,1731,59349,2449
lib,varden,3,1539,46407,2210
lib,varden,3,1600,27376,2634
lib,varden,5,2670,3347,4010
lib,varden,5,2534,22524,4056
lib,varden,5,2540,17675,4177
lib,varden,5,2455,28329,3947
lib,varden,5,2616,----,3463
pnaive,varden,3,35651,113,3870
pnaive,varden,3,38149,229,4691
pnaive,varden,3,41870,63410,2830
pnaive,varden,3,37750,55727,2056
pnaive,varden,2,26690,215,2551
pnaive,varden,2,28191,107,3558
pnaive,varden,2,29683,493,1408
pnaive,varden,2,36694,148,4109
lib,uniform,2,1009,107,1357
lib,uniform,2,931,100,1510
lib,uniform,2,910,98,1404
lib,uniform,2,853,107,1341
lib,uniform,2,920,99,1474
pnaive,uniform,2,38641,120,215
pnaive,uniform,2,33024,122,226
pnaive,uniform,2,36158,110,217
pnaive,uniform,2,31985,111,209
pnaive,uniform,2,33892,109,210
lib,uniform,3,1424,209,2271
lib,uniform,3,1429,187,2224
lib,uniform,3,1339,166,2118
lib,uniform,3,1477,195,2314
lib,uniform,3,1577,214,3898
pnaive,uniform,3,36188,213,221
pnaive,uniform,3,34754,205,222
pnaive,uniform,3,32786,197,208
pnaive,uniform,3,32694,198,217
pnaive,uniform,3,47039,196,213
pkd,uniform,2,1417,122,431
pkd,uniform,2,3128,122,241
pkd,uniform,2,1839,122,252
pkd,uniform,2,2431,131,356
pkd,uniform,2,2630,106,462
pkd,uniform,3,2393,211,305
pkd,uniform,3,8227,201,271
pkd,uniform,3,8647,216,339
pkd,uniform,3,2458,210,333
pkd,uniform,3,7937,208,272
lib,uniform,5,2277,770,3515
lib,uniform,5,2306,730,3644
lib,uniform,5,2244,829,4045
lib,uniform,5,2210,727,3499
lib,uniform,5,2210,726,3442
pkd,uniform,5,10337,954,1891
pkd,uniform,5,3262,912,2440
pkd,uniform,5,2592,987,304
pkd,uniform,5,4014,1044,359
pkd,uniform,5,2935,952,378
pnaive,uniform,5,58942,1004,278
pnaive,uniform,5,96725,1125,829
pnaive,uniform,5,50623,1038,264
pnaive,uniform,5,52421,1057,272
pnaive,uniform,5,48355,1043,299
